oldUri,newUri
http://hdl.handle.net/11459/CCR_C-2647_e2a23859-3e18-2710-4fa8-0f7d4fb5aea6,http://www.wikidata.org/entity/Q37437
http://hdl.handle.net/11459/CCR_C-2648_1d54ce8c-110b-febf-5069-047fd5e53b2d,http://www.wikidata.org/entity/Q865083
http://hdl.handle.net/11459/CCR_C-2651_b9c47802-abb0-110e-5251-c37dea6703f0,http://www.wikidata.org/entity/P282
http://hdl.handle.net/11459/CCR_C-2657_25c2ad8e-3ac1-1663-8c7f-82ea4abc75ce,http://www.wikidata.org/entity/Q93184
http://hdl.handle.net/11459/CCR_C-2659_fb46b0da-0dca-503c-083b-4a524d8e97cc,http://www.wikidata.org/entity/Q261197
http://hdl.handle.net/11459/CCR_C-2660_0a31ff6b-dd63-a44d-096d-840918a8d097,http://www.wikidata.org/entity/Q131395
http://hdl.handle.net/11459/CCR_C-2661_38e4e46b-dd13-f0b1-dff5-ee991b589755,http://www.wikidata.org/entity/Q52943
http://hdl.handle.net/11459/CCR_C-2684_ac8bdf07-61be-d478-53f7-8949139e11fc,http://www.wikidata.org/entity/Q1431161
http://hdl.handle.net/11459/CCR_C-2685_65492121-3759-0fc2-694b-83eccbb9d26c,http://www.wikidata.org/entity/Q2493
http://hdl.handle.net/11459/CCR_C-2686_8482ada6-574c-67e3-d65a-64a23b06b533,http://www.wikidata.org/entity/Q339338
http://hdl.handle.net/11459/CCR_C-2687_a2b83d99-1795-80ee-9968-cb34dbd0d959,http://www.wikidata.org/entity/Q23651349
http://hdl.handle.net/11459/CCR_C-2688_592a09a1-3e6c-3880-c828-d218fee72af5,http://www.wikidata.org/entity/Q12745768
http://hdl.handle.net/11459/CCR_C-2689_b7a745f7-1c1f-df1d-e50b-aa7a6435b39d,http://www.wikidata.org/entity/Q682626
http://hdl.handle.net/11459/CCR_C-2690_3d45e6f3-0827-1b1f-b5a5-2ab3b13450fd,http://www.wikidata.org/entity/Q322481
http://hdl.handle.net/11459/CCR_C-2693_5f7f9cfb-991a-819e-3507-20bfcad65fc5,http://www.wikidata.org/entity/Q758891
http://hdl.handle.net/11459/CCR_C-2694_00e90286-f489-9ef4-1fbb-9495f7c0a968,http://www.wikidata.org/entity/Q758870
http://hdl.handle.net/11459/CCR_C-2697_adc469e0-5112-dcba-56bd-fe4ace7244ed,http://www.wikidata.org/entity/Q372029
http://hdl.handle.net/11459/CCR_C-2698_cb67601d-064d-82e2-1cb3-01e4ffed5693,http://www.wikidata.org/entity/Q15975575
http://hdl.handle.net/11459/CCR_C-2700_bd03fda3-0a95-79e2-806e-9e92631239fa,http://www.wikidata.org/entity/Q294440
http://hdl.handle.net/11459/CCR_C-2717_812735d5-5c26-55dd-0a46-9bc96a6e3d67,http://www.wikidata.org/entity/Q83034
http://hdl.handle.net/11459/CCR_C-2720_b07740f5-958e-e91f-6248-2fd6f394a65f,http://www.wikidata.org/entity/Q128234
http://hdl.handle.net/11459/CCR_C-2721_b4e1bf33-3133-5728-7e12-ea7e7b1aa6e0,http://www.wikidata.org/entity/Q131105
http://hdl.handle.net/11459/CCR_C-2722_98bef5dd-208a-a375-4aa3-57ae8f560162,http://www.wikidata.org/entity/Q146233
